系統編號,英文名稱,中文名稱,圖片,更新時間
2381536,interchange field separator,交換欄分隔符,,2015-09-11
2381537,interchange file format，IFF,交換檔案格式,,2015-09-11
2381538,interchange graph,交換圖,,2015-09-11
2381539,interchange group separator,交換組分隔符,,2015-09-11
2381540,interchange mode,交換模式,,2015-09-11
2381541,interchange of information,資訊交換,,2015-09-11
2381542,interchange record separator，IRS,交換記錄分隔符,,2015-09-11
2381543,interchange rule,交換規則,,2015-09-11
2381544,interchange sort,交換分類,,2015-09-11
2381545,interchange trunk,交換中繼線,,2015-09-11
2381546,interchangeability,互換性,,2015-09-11
2381547,interchangeability error,互換性錯誤,,2015-09-11
2381548,interchangeable card feed,可互換卡片饋送,,2015-09-11
2381549,interchangeable connector,可互換連接器,,2015-09-11
2381550,interchangeable disk,可互換磁碟,,2015-09-11
2381551,interchangeable printer type bar,可互換列印機印字桿,,2015-09-11
2381552,interchangeable program tape,可互換程式帶,,2015-09-11
2381553,interchangeable substitute,可互換的代用品,,2015-09-11
2381554,interchangeable type bar,可換印字桿,,2015-09-11
2381555,interchannel communication,通道間通信,,2015-09-11
2381556,interchannel crosstalk,通道間串音,,2015-09-11
2381557,interchannel frequency band,通道間頻帶,,2015-09-11
2381558,interchannel intelligible crosstalk,通道間可懂串音,,2015-09-11
2381559,interchannel interference,通道間干擾,,2015-09-11
2381560,interchannel intermodulation,通道間互調變,,2015-09-11
2381561,interchannel interval,通道間距,,2015-09-11
2381562,interchannel modulation,通道間調變,,2015-09-11
2381563,interchannel noise,通道間雜訊,,2015-09-11
2381564,interchannel spacing,通道間距,,2015-09-11
2381565,interchannel time base error,通道間時基誤差,,2015-09-11
2381566,interchannel time displacement,通道間時間位移,,2015-09-11
2381567,interchannel variable length block format,通道間可變長度塊格式,,2015-09-11
2381568,intercharacter adjustment,字元間調整,,2015-09-11
2381569,intercharacter decrement,字元間減量,,2015-09-11
2381570,intercharacter gap,字元間隙,,2015-09-11
2381571,intercharacter increment,字元間增量,,2015-09-11
2381572,intercharacter space,字元間間距,,2015-09-11
2381573,intercom,內部通信,,2015-09-11
2381574,intercom service,內部通信服務,,2015-09-11
