系統編號,英文名稱,中文名稱,圖片,更新時間
2371537,Fortran matrix abstraction technique Fortran,FORTRAN 矩陣處理語言,,2015-09-11
2371538,FORTRAN matrix abstraction technique，FORMAT,FORTRAN矩陣提取技術,,2015-09-11
2371539,FORTRAN matrix analysis，FORMA,FORTRAN矩陣分析,,2015-09-11
2371540,FORTRAN monitor system，FMS,FORTRAN監視系統,,2015-09-11
2371541,FORTRAN network analysis program，FNAP,FORTRAN網路分析程式,,2015-09-11
2371542,FORTRAN operating system，FOS,FORTRAN作業系統,,2015-09-11
2371543,FORTRAN optimization code,FORTRAN最佳化代碼,,2015-09-11
2371544,FORTRAN oriented information management system，FORIMS,FORTRAN導向的資訊管理系統,,2015-09-11
2371545,FORTRAN parameter passing,FORTRAM參數傳遞,,2015-09-11
2371546,FORTRAN processing system，FPS,FORTRAN處理系統,,2015-09-11
2371547,FORTRAN simulation，FORTSIM,FORTRAN語言模擬,,2015-09-11
2371548,FORTRAN specification statement,FORTRAN規格敘述,,2015-09-11
2371549,FORTRAN statement columns,FORTRAN敘述行,,2015-09-11
2371550,FORTRAN symbolic debugging package，FDEBUG,FORTRAN符號除錯套裝軟體,,2015-09-11
2371551,FORTRAN test procedure language，TPL/F,FORTRAN測試程序語言,,2015-09-11
2371552,FORTRAN tuner，FORTUNE,FORTRAN調整程式,,2015-09-11
2371553,FORTRAN utility system，FUS,FORTRAN公用程式系統,,2015-09-11
2371554,Fortran V,FORTRAN V 語言,,2015-09-11
2371555,fortress computer center,要塞計算機中心,,2015-09-11
2371556,fortuitous,偶然，不規則,,2015-09-11
2371557,fortuitous conductor,不規則導體,,2015-09-11
2371558,fortuitous distortion,不規則失真，偶然失真,,2015-09-11
2371559,forty-four repeater,44增訊器,,2015-09-11
2371560,forum,論壇,,2015-09-11
2371561,Forum Leader,討論會引導者,,2015-09-11
2371562,forum of incident response and security teams,事件回應和保全小組論壇,,2015-09-11
2371563,forum server,論壇伺服器,,2015-09-11
2371564,forward,正向，轉送,,2015-09-11
2371565,forward acting code,正向動作碼,,2015-09-11
2371566,forward acting error correction,正向糾錯,,2015-09-11
2371567,forward acting shift register，FASR,正向動作移位暫存器,,2015-09-11
2371568,forward addressing,正向尋址,,2015-09-11
2371569,forward analysis,正向分析,,2015-09-11
2371570,forward and backward deduction,前後雙向演繹,,2015-09-11
2371571,forward backward counter,正反雙向計數器,,2015-09-11
2371572,forward bias,正向偏壓,,2015-09-11
2371573,forward biased,正偏,,2015-09-11
2371574,forward busying,正向忙線,,2015-09-11
2371575,forward chaining,正向鍊接,,2015-09-11
2371576,forward chaining control,正向鍊接控制,,2015-09-11
2371577,forward chaining manner,正向鍊接方式,,2015-09-11
2371578,forward chaining problem solver,正向鍊接問題解答器,,2015-09-11
2371579,forward channel,正向通道,,2015-09-11
2371580,forward circuit,正向電路,,2015-09-11
2371581,forward clearing,正向清除,,2015-09-11
2371582,forward communication center,正向通信中心,,2015-09-11
2371583,forward compatibility,正向相容性,,2015-09-11
2371584,forward compatible,正向相容,,2015-09-11
2371585,forward conduction,正向傳導,,2015-09-11
2371586,forward connection,前向連接,,2015-09-11
2371587,forward controlling elements,正向控制元件,,2015-09-11
2371588,forward counter,正向計數器,,2015-09-11
2371589,forward crosstalk,正向串音,,2015-09-11
2371590,forward current,正向電流,,2015-09-11
2371591,forward declaration,正向宣告,,2015-09-11
2371592,forward declared,正向宣告,,2015-09-11
2371593,forward deduction system,正向演繹系統,,2015-09-11
2371594,forward definition chain,正向定義鍊,,2015-09-11
2371595,forward delta,正向差量,,2015-09-11
2371596,forward echo,正向回音,,2015-09-11
2371597,forward edge,向前邊,,2015-09-11
2371598,forward engineering,正向工程,,2015-09-11
2371599,forward error correction，FEC,正向錯誤校正,,2015-09-11
2371600,forward error detection/correction，FEDC,正向錯誤檢測／校正,,2015-09-11
2371601,forward error recovery,向前錯誤復原,,2015-09-11
2371602,forward explicit congestion,正向外顯擁塞通知,,2015-09-11
2371603,forward explicit congestion notification,正向外顯擁塞通知,,2015-09-11
2371604,forward explicit congestion notification/backward explicit congestion notification,正向外顯擁塞通知/反向外顯擁塞通知,,2015-09-11
2371605,forward file recovery,檔案向前恢復,,2015-09-11
2371606,forward function identifier,正向函數識別符,,2015-09-11
2371607,forward gate，FG,正向閘,,2015-09-11
2371608,forward index,正向索引,,2015-09-11
2371609,forward indicator bit,正向指示器位元,,2015-09-11
2371610,forward job,正向工作,,2015-09-11
2371611,forward kinemation,正向運動,,2015-09-11
2371612,forward LAN channel,正向區域網路通道,,2015-09-11
2371613,forward link field,正向鏈接欄位,,2015-09-11
2371614,forward link pointer,正向鏈接指標,,2015-09-11
2371615,forward link service,正向鏈接服務,,2015-09-11
2371616,forward link user,正向鏈接用戶,,2015-09-11
2371617,forward link，FLINK,正向鏈,,2015-09-11
2371618,forward loop backward hop，FLBH,正向迴路反向跳躍,,2015-09-11
2371619,forward loop parity hop，FLPH,正向迴路奇偶跳躍,,2015-09-11
2371620,forward magnetic tape,正向磁帶,,2015-09-11
2371621,forward merge,正向合併,,2015-09-11
2371622,forward one frame,向前一框,,2015-09-11
2371623,forward pass,正向傳遞,,2015-09-11
2371624,forward path,正向路徑,,2015-09-11
2371625,forward pointer,正向指標,,2015-09-11
2371626,forward polyphase sort,正向多相分類,,2015-09-11
2371627,forward prediction residue,正向預測殘餘,,2015-09-11
2371628,forward probability,向前機率,,2015-09-11
2371629,forward procedure identifier,正向程序識別符,,2015-09-11
2371630,forward production system,正向生成系統,,2015-09-11
2371631,forward propagation,正向傳播,,2015-09-11
2371632,forward propagation circuit，FPC,向前傳播電路,,2015-09-11
2371633,forward pruning,正向修剪,,2015-09-11
2371634,forward pulse,正向脈衝,,2015-09-11
2371635,forward reachability,向前可達性,,2015-09-11
2371636,forward read continuous，FRC,連續向前讀出,,2015-09-11
2371637,forward reading,正向讀出,,2015-09-11
2371638,forward reasoning,正向推理,,2015-09-11
2371639,forward recovery,正向恢復,,2015-09-11
2371640,forward recovery time,正向恢復時間,,2015-09-11
2371641,forward reference,前向參考，向前參照，正向引用,,2015-09-11
2371642,forward reference of procedure entry,過程正向引用入口,,2015-09-11
2371643,forward reference type identifier,正向引用類型識別符,,2015-09-11
2371644,forward repositioning,正向再定位,,2015-09-11
2371645,forward resistance,正向電阻,,2015-09-11
2371646,forward robot problem solving system,正向機器人問題求解系統,,2015-09-11
2371647,forward robot problem-solving,正向機器人問題求解,,2015-09-11
2371648,forward rule based deduction system,基於正向規則演繹系統,,2015-09-11
2371649,forward scan,正向掃瞄,,2015-09-11
2371650,forward scatter,正向散射,,2015-09-11
2371651,forward scheduling,正向排程，正向排程法,,2015-09-11
2371652,forward search,正向搜尋,,2015-09-11
2371653,forward secrecy,正向密碼,,2015-09-11
2371654,forward selection,預選,,2015-09-11
2371655,forward signaling path,正向發信路徑,,2015-09-11
2371656,forward space,正向空間,,2015-09-11
2371657,forward space block，FSB,正向間隔塊,,2015-09-11
2371658,forward space file on multifile tape,多檔案帶上的正向間隔檔案,,2015-09-11
2371659,forward space file，FSF,正向間隔檔案,,2015-09-11
2371660,forward space record，FSR,正向間隔記錄,,2015-09-11
2371661,forward spacing,正向間距,,2015-09-11
2371662,forward supervision,正向監督,,2015-09-11
2371663,forward tape motion,磁帶正向動作,,2015-09-11
2371664,forward transfer element,正向傳送元件,,2015-09-11
2371665,forward transfer function,正向傳送函數,,2015-09-11
2371666,forward transfer signal,正向傳送信號,,2015-09-11
2371667,forward twin pointer,向前孿生指標,,2015-09-11
2371668,forward type cycle,向前型式循環,,2015-09-11
2371669,forward versatile disc,前瞻多功能光碟；紅光高畫質影音光碟,,2015-09-11
2371670,forward-propagation network,正向傳播網路,,2015-09-11
2371671,forwarded,正 向；向前,,2015-09-11
2371672,forwarding,轉發,,2015-09-11
2371673,forwarding equivalence class,轉接等價類,,2015-09-11
2371674,forwarding table,轉發表,,2015-09-11
2371675,forwardOnly,僅正向,,2015-09-11
2371676,fouling marker,警衝標,,2015-09-11
2371677,fouling point,警衝標,,2015-09-11
2371678,foundation,基礎,,2015-09-11
2371679,foundation class,基礎類別,,2015-09-11
2371680,FOundation for Research and Technology - Hellas,Hellas 研究和技術基金會,,2015-09-11
2371681,foundation virtual machine,基礎虛擬機,,2015-09-11
2371682,foundry,晶圓代工廠；製造廠,,2015-09-11
2371683,fountain,噴泉；水槽,,2015-09-11
2371684,four address pointer register,四位址指標暫存器,,2015-09-11
2371685,Four Character Code,四字元碼,,2015-09-11
2371686,four Charactor Code,四字元碼,,2015-09-11
2371687,four colour map theorem,四色圖定理,,2015-09-11
2371688,four colour theorem,四色定理,,2015-09-11
2371689,four figure system,四數系統,,2015-09-11
2371690,four phase,四相,,2015-09-11
2371691,four phase modulation,四相調變,,2015-09-11
2371692,four probe method,四探針法,,2015-09-11
2371693,four quadrant multiplier,四象限乘法器,,2015-09-11
2371694,four quadrant operation,四象限操作,,2015-09-11
2371695,four track recorder,四軌記錄器,,2015-09-11
2371696,four-address,四址,,2015-09-11
2371697,four-address code,四址碼,,2015-09-11
2371698,four-address computer,四址計算機,,2015-09-11
2371699,four-address instruction,四址指令,,2015-09-11
2371700,four-bit byte,四比位元組,,2015-09-11
2371701,four-bit interface logic unit，FILU,四比介面邏輯單元,,2015-09-11
2371702,four-bit slice circuit,四比片電路,,2015-09-11
2371703,four-bit slice microprocessor,四比片微處理機,,2015-09-11
2371704,four-bit slice system,四比片系統,,2015-09-11
2371705,four-byte signed integer,四拜簽署整數,,2015-09-11
2371706,four-byte signed integer key,四拜帶正負號整數鍵,,2015-09-11
2371707,four-byte unsigned binary,四位元組無符號二進數,,2015-09-11
2371708,four-byte unsigned binary key,四位元組無符號二進數鍵,,2015-09-11
2371709,four-channel multiplier,四通道乘法器,,2015-09-11
2371710,four-channel time division multiplex,四通道時分多工,,2015-09-11
2371711,four-color conjecture,四色猜測,,2015-09-11
2371712,four-color display,四色顯示器,,2015-09-11
2371713,four-color printing,四色列印,,2015-09-11
2371714,four-colour process,四色處理,,2015-09-11
2371715,four-corner coding,四角編碼,,2015-09-11
2371716,four-counter machine,四計數器機,,2015-09-11
2371717,four-digit,四數位,,2015-09-11
2371718,four-function calculator,四功能計算器,,2015-09-11
2371719,four-function interchange box,四功能交換箱,,2015-09-11
2371720,four-out-of-eight code,八出四碼,,2015-09-11
2371721,four-pass compiler,四遍掃瞄編譯程式,,2015-09-11
2371722,four-plus-one address,四加一位址,,2015-09-11
2371723,four-plus-one address instruction,四加一位址指令,,2015-09-11
2371724,four-pole circuit,四極電路,,2015-09-11
