系統編號,英文名稱,中文名稱,圖片,更新時間
2401531,odd even sorting,奇偶排序，奇偶分類,,2015-09-11
2401532,odd even sorting algorithm,奇偶排序演算法,,2015-09-11
2401533,odd header,奇標頭,,2015-09-11
2401534,odd location,奇數位置,,2015-09-11
2401535,odd loop,奇數迴路,,2015-09-11
2401536,odd numbered channels,奇數通道,,2015-09-11
2401537,odd or even parity,奇或偶同位,,2015-09-11
2401538,odd pages,奇數頁,,2015-09-11
2401539,odd parity,奇同位,,2015-09-11
2401540,odd parity check,奇同位檢查,,2015-09-11
2401541,odd permutation,奇排列,,2015-09-11
2401542,odd positive acknowledge,奇肯定應答,,2015-09-11
2401543,odd prime,奇質數,,2015-09-11
2401544,odd substitution,奇替代,,2015-09-11
2401545,odd-even merge sort,奇偶合併排序,,2015-09-11
2401546,oddment,零頭貼,,2015-09-11
2401547,odds ratio,優勢率,,2015-09-11
2401548,OEM character set,OEM字元集,,2015-09-11
2401549,OEM font,OEM 字型,,2015-09-11
2401550,OEM service release 2,OEM 維修版本 2,,2015-09-11
2401551,Oersted,厄斯特,,2015-09-11
2401552,off air,停播,,2015-09-11
2401553,off axis paraboloidal mirror,離軸的拋物面鏡,,2015-09-11
2401554,off emergency,緊急斷開,,2015-09-11
2401555,off microphone,離線話筒，離線麥克風,,2015-09-11
2401556,off mike,離線話筒,,2015-09-11
2401557,off premise extension,室外分機,,2015-09-11
2401558,off punishment,免刑判決,,2015-09-11
2401559,off screen,斷開螢幕,,2015-09-11
2401560,off state,關閉狀態,,2015-09-11
2401561,off the rack,關閉框架,,2015-09-11
2401562,off the shelf,現貨,,2015-09-11
2401563,off tune,失調,,2015-09-11
2401564,off-by-one error,離一誤差,,2015-09-11
2401565,off-card clock distribution,板外時鐘分配,,2015-09-11
2401566,off-contact,觸點斷開,,2015-09-11
2401567,off-duty,未運行的（指設備），未當班的（指工作人員）,,2015-09-11
2401568,off-gauge,不均勻厚度，規格不符，非標準的,,2015-09-11
2401569,off-hand,自動的，立即,,2015-09-11
2401570,off-hook,摘機，接聽,,2015-09-11
2401571,off-hook instrument,摘機儀器,,2015-09-11
2401572,off-hook service,摘機服務,,2015-09-11
2401573,off-hook signal,摘機信號,,2015-09-11
2401574,off-hook status,摘機狀態,,2015-09-11
2401575,off-hours,間斷時間,,2015-09-11
2401576,off-line,離線，離線的，線外,,2015-09-11
2401577,off-line /GB/ (adjective),離線/英國/(形容詞),,2015-09-11
2401578,off-line algorithm,離線演算法,,2015-09-11
2401579,off-line application,離線應用,,2015-09-11
2401580,off-line authority,離線機構,,2015-09-11
2401581,off-line batch processing,離線整批處理,,2015-09-11
2401582,off-line batch processing system,離線整批處理系統,,2015-09-11
2401583,off-line computation,離線計算,,2015-09-11
2401584,off-line compute system,離線計算系統,,2015-09-11
2401585,off-line computer,離線計算機,,2015-09-11
2401586,off-line control,離線控制,,2015-09-11
2401587,off-line conversion,離線轉換,,2015-09-11
2401588,off-line conversion equipment,離線轉換設備,,2015-09-11
2401589,off-line copying device,離線複製裝置,,2015-09-11
2401590,off-line crypto-operation,離線密碼運算,,2015-09-11
2401591,off-line cryptographic operation,離線密碼操作,,2015-09-11
2401592,off-line data entry,離線資料輸入,,2015-09-11
2401593,off-line data generator，ODG,離線資料產生器,,2015-09-11
2401594,off-line data processing,離線資料處理,,2015-09-11
2401595,off-line data reduction,離線資料縮減,,2015-09-11
2401596,off-line device,離線裝置,,2015-09-11
2401597,off-line diagnostic program,離線診斷程式,,2015-09-11
2401598,off-line edit,離線編輯,,2015-09-11
2401599,off-line editing,離線編輯,,2015-09-11
2401600,off-line equipment,線外設備，離線設備,,2015-09-11
2401601,off-line fault detection,離線故障檢測,,2015-09-11
2401602,off-line file,離線檔案,,2015-09-11
2401603,off-line function,離線功能,,2015-09-11
2401604,off-line input,離線輸入,,2015-09-11
2401605,off-line job control,離線工件控制,,2015-09-11
2401606,off-line mail reader,離線郵件讀取機,,2015-09-11
2401607,off-line memory,離線記憶體,,2015-09-11
2401608,off-line mode,離線模式,,2015-09-11
2401609,off-line operating simulator，OOPS,離線操作模擬器,,2015-09-11
2401610,off-line operation,離線操作,,2015-09-11
2401611,off-line output,離線輸出,,2015-09-11
2401612,off-line peripheral operation,離線週邊操作,,2015-09-11
2401613,off-line printer,離線列印機,,2015-09-11
2401614,off-line printing,離線列印,,2015-09-11
2401615,off-line processing,離線處理,,2015-09-11
2401616,off-line processor,離線處理機,,2015-09-11
2401617,off-line program,離線程式,,2015-09-11
2401618,off-line programming system,離線程式設計系統,,2015-09-11
2401619,off-line recovery,離線恢復,,2015-09-11
2401620,off-line remote batch,離線遠程整批,,2015-09-11
2401621,off-line retrieval,離線檢索,,2015-09-11
2401622,off-line scan,離線掃瞄,,2015-09-11
2401623,off-line seek,離線尋覓,,2015-09-11
2401624,off-line sorting,離線分類,,2015-09-11
2401625,off-line state,離線狀態,,2015-09-11
2401626,off-line storage,離線儲存器，線外儲存，離線儲存,,2015-09-11
2401627,off-line support program,離線支援程式,,2015-09-11
2401628,off-line system,線外系統，離線系統,,2015-09-11
2401629,off-line system reconfiguration,離線系統重組態,,2015-09-11
2401630,off-line terms code,離線術語碼,,2015-09-11
2401631,off-line test,離線測試,,2015-09-11
2401632,off-line test and diagnostic program,離線測試及診斷程式,,2015-09-11
2401633,off-line test and diagnostic system,離線測試及診斷系統,,2015-09-11
2401634,off-line test program,離線測試程式,,2015-09-11
2401635,off-line trusted third party,離線可信賴第三者,,2015-09-11
2401636,off-line Turing machine,離線杜林機,,2015-09-11
2401637,off-line typesetting system,離機排字系統,,2015-09-11
2401638,off-line unit,離線裝置,,2015-09-11
2401639,off-line work,離線工作,,2015-09-11
2401640,off-line working,線外工作,,2015-09-11
2401641,off-line world,離線世界,,2015-09-11
2401642,off-lining,離線,,2015-09-11
2401643,off-lint output,離線輸出,,2015-09-11
2401644,off-machine coating,機外塗布,,2015-09-11
2401645,off-net calling,網外呼叫,,2015-09-11
2401646,off-net extension,網外分機,,2015-09-11
2401647,off-network,離線網路,,2015-09-11
2401648,off-page connector,離頁連接符,,2015-09-11
2401649,off-peak,離峰,,2015-09-11
2401650,off-position,偏位，離位，斷開位置,,2015-09-11
2401651,off-premise,機房外備用設備,,2015-09-11
2401652,off-premise standby equipment,機房外待用設備,,2015-09-11
2401653,off-punch,偏穿孔,,2015-09-11
2401654,off-screen formatting,離螢幕格式化,,2015-09-11
2401655,off-shore,境外；國外,,2015-09-11
2401656,off-side rule,反側規則,,2015-09-11
2401657,off-site storage,外地儲存,,2015-09-11
2401658,off-the-air monitoring,停播監視,,2015-09-11
2401659,off-the-shelf,現成的，現有的，現貨,,2015-09-11
2401660,off-the-shelf hardware,現成的硬體,,2015-09-11
2401661,off-the-shelf integrated circuit,現成的積體電路,,2015-09-11
2401662,off-the-shelf item,現成項目,,2015-09-11
2401663,off-the-shelf processor,現成的處理器，現成的處理機，現成的處理程序,,2015-09-11
2401664,off-the-shelf product,現貨產品,,2015-09-11
2401665,off-time,不工作時間,,2015-09-11
2401666,off-topic,離題,,2015-09-11
2401667,off-track,偏離磁軌,,2015-09-11
2401668,offcut,碎料,,2015-09-11
2401669,offence against public safety,公共危險罪,,2015-09-11
2401670,offences,妨害,,2015-09-11
2401671,offences against personal liberty,妨害自由罪,,2015-09-11
2401672,offences of causing bodily harm,傷害罪,,2015-09-11
2401673,offences of forging instruments or seals,偽造文書印文罪,,2015-09-11
2401674,offences of homicide,殺人罪,,2015-09-11
2401675,offences of interference with public functions,妨害公務罪,,2015-09-11
2401676,offences of larceny,竊盜罪,,2015-09-11
2401677,offences of malfeasance in office,瀆職罪,,2015-09-11
2401678,offences of misappropriation,侵占罪,,2015-09-11
2401679,offences of receiving stolen property,贓物罪,,2015-09-11
